2025-02-12 at 22:09:18 | INFO | Creating Database instance
2025-02-12 at 22:09:18 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:09:18 | INFO | Creating Database instance
2025-02-12 at 22:09:18 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:09:18 | INFO | Creating Database instance
2025-02-12 at 22:09:18 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:09:30 | INFO | Creating Database instance
2025-02-12 at 22:09:30 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:09:30 | INFO | Creating Database instance
2025-02-12 at 22:09:30 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:16:14 | INFO | Creating Database instance
2025-02-12 at 22:16:14 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:20 | INFO | Creating Database instance
2025-02-12 at 22:16:20 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:18 | INFO | Creating Database instance
2025-02-12 at 22:16:18 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:34 | INFO | Creating Database instance
2025-02-12 at 22:16:34 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:34 | INFO | Creating Database instance
2025-02-12 at 22:16:34 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:34 | INFO | Creating Database instance
2025-02-12 at 22:16:34 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:16:34 | INFO | Creating Database instance
2025-02-12 at 22:16:34 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:16:35 | INFO | Creating Database instance
2025-02-12 at 22:16:35 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:35 | INFO | Creating Database instance
2025-02-12 at 22:16:35 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:36 | INFO | Creating Database instance
2025-02-12 at 22:16:36 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:16:43 | INFO | Creating Database instance
2025-02-12 at 22:16:43 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:16:43 | INFO | Creating Database instance
2025-02-12 at 22:16:43 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:17:17 | INFO | Creating Database instance
2025-02-12 at 22:17:17 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:17:17 | INFO | Creating Database instance
2025-02-12 at 22:17:17 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:17:17 | INFO | Creating Database instance
2025-02-12 at 22:17:17 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:17:24 | INFO | Creating Database instance
2025-02-12 at 22:17:24 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:17:24 | INFO | Creating Database instance
2025-02-12 at 22:17:24 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:17:35 | INFO | Creating Database instance
2025-02-12 at 22:17:35 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:17:35 | INFO | Creating Database instance
2025-02-12 at 22:17:35 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:17:36 | INFO | Creating Database instance
2025-02-12 at 22:17:36 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:18:56 | INFO | Creating Database instance
2025-02-12 at 22:18:56 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:18:56 | INFO | Creating Database instance
2025-02-12 at 22:18:56 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:18:56 | INFO | Creating Database instance
2025-02-12 at 22:18:56 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:18:56 | INFO | Creating Database instance
2025-02-12 at 22:18:56 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:19:37 | INFO | Creating Database instance
2025-02-12 at 22:19:37 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:19:37 | INFO | Creating Database instance
2025-02-12 at 22:19:37 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:19:38 | INFO | Creating Database instance
2025-02-12 at 22:19:38 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:21:34 | INFO | Creating Database instance
2025-02-12 at 22:21:34 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:34 | INFO | Creating Database instance
2025-02-12 at 22:21:34 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:35 | INFO | Creating Database instance
2025-02-12 at 22:21:35 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:21:37 | INFO | Creating Database instance
2025-02-12 at 22:21:37 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:37 | INFO | Creating Database instance
2025-02-12 at 22:21:37 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:37 | INFO | Creating Database instance
2025-02-12 at 22:21:37 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:21:40 | INFO | Creating Database instance
2025-02-12 at 22:21:40 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:40 | INFO | Creating Database instance
2025-02-12 at 22:21:40 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:21:40 | INFO | Creating Database instance
2025-02-12 at 22:21:40 | INFO | l'istanza esiste già, la ritorno ;)
2025-02-12 at 22:22:06 | INFO | Creating Database instance
2025-02-12 at 22:22:06 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:22:06 | INFO | Creating Database instance
2025-02-12 at 22:22:06 | INFO | Istanza è None quindi la creo
2025-02-12 at 22:22:06 | INFO | Creating Database instance
2025-02-12 at 22:22:06 | INFO | l'istanza esiste già, la ritorno ;)
